index,times,rains,waterlevels
2023/7/10 21:00,710.21,0.5,236.07
2023/7/10 20:00,710.2,0,236.06
2023/7/10 19:00,710.19,0,236.06
2023/7/10 18:00,710.18,0.5,236.06
2023/7/10 17:00,710.17,0.5,236.06
2023/7/10 16:00,710.16,0,236.06
2023/7/10 15:00,710.15,0,236.05
2023/7/10 14:00,710.14,0,236.05
2023/7/10 13:00,710.13,0,236.05
2023/7/10 12:00,710.12,0.5,236.06
2023/7/10 11:00,710.11,1,236.06
2023/7/10 10:00,710.1,0.5,236.21
2023/7/10 9:00,710.09,1.5,236.13
2023/7/10 8:00,710.08,1,236.09
2023/7/10 7:00,710.07,0.5,236.07
2023/7/10 6:00,710.06,0,236.06
2023/7/10 5:00,710.05,0,236.06
2023/7/10 4:00,710.04,0.5,236.06
2023/7/10 3:00,710.03,0,236.06
2023/7/10 2:00,710.02,0.5,236.06
2023/7/10 1:00,710.01,0,236.06
2023/7/10 0:00,710,1,236.19
2023/7/9 23:00,709.23,0,236.21
2023/7/9 22:00,709.22,0,236.13
2023/7/9 21:00,709.21,0,236.09
2023/7/9 20:00,709.2,0.5,236.07
2023/7/9 19:00,709.19,0,236.07
2023/7/9 18:00,709.18,0,236.07
2023/7/9 17:00,709.17,0,236.24
2023/7/9 16:00,709.16,0.5,236.18
2023/7/9 15:00,709.15,0,236.11
2023/7/9 14:00,709.14,0,236.08
2023/7/9 13:00,709.13,0,236.08
2023/7/9 12:00,709.12,0,236.08
2023/7/9 11:00,709.11,0.5,236.1
2023/7/9 10:00,709.1,0,236.22
2023/7/9 9:00,709.09,0,236.22
2023/7/9 8:00,709.08,0,236.19
2023/7/9 7:00,709.07,0,236.12
2023/7/9 6:00,709.06,0,236.09
2023/7/9 5:00,709.05,0,236.09
2023/7/9 4:00,709.04,0,236.23
2023/7/9 3:00,709.03,0,236.21
2023/7/9 2:00,709.02,0,236.12
2023/7/9 1:00,709.01,0,236.09
2023/7/9 0:00,709,0,236.22
2023/7/8 23:00,708.23,0,236.25
2023/7/8 22:00,708.22,0,236.16
2023/7/8 21:00,708.21,0,236.1
2023/7/8 20:00,708.2,0,236.09
2023/7/8 19:00,708.19,0,236.09
2023/7/8 18:00,708.18,0,236.19
2023/7/8 17:00,708.17,0,236.19
2023/7/8 16:00,708.16,0,236.19
2023/7/8 15:00,708.15,0,236.18
2023/7/8 14:00,708.14,0,236.17
2023/7/8 13:00,708.13,0,236.18
2023/7/8 12:00,708.12,0,236.11
2023/7/8 11:00,708.11,0,236.24
2023/7/8 10:00,708.1,0,236.23
2023/7/8 9:00,708.09,0,236.2
2023/7/8 8:00,708.08,0,236.12
2023/7/8 7:00,708.07,0,236.09
2023/7/8 6:00,708.06,0,236.08
2023/7/8 5:00,708.05,0,236.22
2023/7/8 4:00,708.04,0,236.23
2023/7/8 3:00,708.03,0,236.18
2023/7/8 2:00,708.02,0,236.11
2023/7/8 1:00,708.01,0,236.09
2023/7/8 0:00,708,0,236.2
2023/7/7 23:00,707.23,0,236.2
2023/7/7 22:00,707.22,0.5,236.18
2023/7/7 21:00,707.21,0,236.11
2023/7/7 20:00,707.2,2,236.09
2023/7/7 19:00,707.19,0.5,236.08
2023/7/7 18:00,707.18,0,236.19
2023/7/7 17:00,707.17,0,236.19
2023/7/7 16:00,707.16,0,236.19
2023/7/7 15:00,707.15,0,236.19
2023/7/7 14:00,707.14,0,236.16
2023/7/7 13:00,707.13,1,236.11
2023/7/7 12:00,707.12,0,236.09
2023/7/7 11:00,707.11,0,236.24
2023/7/7 10:00,707.1,0,236.23
2023/7/7 9:00,707.09,1,236.16
2023/7/7 8:00,707.08,2,236.11
2023/7/7 7:00,707.07,1.5,236.09
2023/7/7 6:00,707.06,2,236.22
2023/7/7 5:00,707.05,0,236.23
2023/7/7 4:00,707.04,1,236.23
2023/7/7 3:00,707.03,1.5,236.19
2023/7/7 2:00,707.02,0.5,236.12
2023/7/7 1:00,707.01,1,236.22
2023/7/7 0:00,707,1,236.23
2023/7/6 23:00,706.23,0,236.26
2023/7/6 22:00,706.22,0,236.24
2023/7/6 21:00,706.21,0.5,236.23
2023/7/6 20:00,706.2,0,236.23
2023/7/6 19:00,706.19,0,236.23
2023/7/6 18:00,706.18,0,236.25
2023/7/6 17:00,706.17,0,236.29
2023/7/6 16:00,706.16,0,236.31
2023/7/6 15:00,706.15,0,236.32
2023/7/6 14:00,706.14,0,236.32
2023/7/6 13:00,706.13,0,236.29
2023/7/6 12:00,706.12,0,236.35
2023/7/6 11:00,706.11,0,236.31
2023/7/6 10:00,706.1,0,236.28
2023/7/6 9:00,706.09,0,236.29
2023/7/6 8:00,706.08,0,236.34
2023/7/6 7:00,706.07,0,236.28
2023/7/6 6:00,706.06,0,236.3
2023/7/6 5:00,706.05,0,236.31
2023/7/6 4:00,706.04,0,236.31
2023/7/6 3:00,706.03,0,236.31
2023/7/6 2:00,706.02,0,236.25
2023/7/6 1:00,706.01,0,236.28
2023/7/6 0:00,706,0,236.28
2023/7/5 23:00,705.23,0,236.33
2023/7/5 22:00,705.22,0,236.28
2023/7/5 21:00,705.21,0,236.28
2023/7/5 20:00,705.2,0,236.28
2023/7/5 19:00,705.19,0,236.25
2023/7/5 18:00,705.18,0,236.24
2023/7/5 17:00,705.17,0,236.25
2023/7/5 16:00,705.16,0,236.27
2023/7/5 15:00,705.15,0,236.27
2023/7/5 14:00,705.14,0,236.28
2023/7/5 13:00,705.13,0,236.22
2023/7/5 12:00,705.12,0,236.25
2023/7/5 11:00,705.11,0,236.28
2023/7/5 10:00,705.1,0,236.27
2023/7/5 9:00,705.09,0,236.24
2023/7/5 8:00,705.08,0,236.24
2023/7/5 7:00,705.07,0,236.23
2023/7/5 6:00,705.06,0,236.24
2023/7/5 5:00,705.05,0,236.24
2023/7/5 4:00,705.04,0,236.24
2023/7/5 3:00,705.03,0,236.23
2023/7/5 2:00,705.02,0,236.23
2023/7/5 1:00,705.01,0,236.23
2023/7/5 0:00,705,0,236.23
2023/7/4 23:00,704.23,0.5,236.26
2023/7/4 22:00,704.22,0.5,236.21
2023/7/4 21:00,704.21,0,236.21
2023/7/4 20:00,704.2,0.5,236.21
2023/7/4 19:00,704.19,0.5,236.21
2023/7/4 18:00,704.18,0,236.21
2023/7/4 17:00,704.17,0,236.21
2023/7/4 16:00,704.16,0,236.21
2023/7/4 15:00,704.15,0,236.19
2023/7/4 14:00,704.14,0,236.2
2023/7/4 13:00,704.13,0,236.2
2023/7/4 12:00,704.12,0,236.21
2023/7/4 11:00,704.11,0,236.22
2023/7/4 10:00,704.1,0,236.23
2023/7/4 9:00,704.09,0,236.21
2023/7/4 8:00,704.08,0,236.2
2023/7/4 7:00,704.07,0,236.2
2023/7/4 6:00,704.06,0,236.19
2023/7/4 5:00,704.05,0,236.2
2023/7/4 4:00,704.04,0,236.21
2023/7/4 3:00,704.03,0,236.21
2023/7/4 2:00,704.02,0,236.21
2023/7/4 1:00,704.01,0,236.21
2023/7/4 0:00,704,0,236.22
2023/7/3 23:00,703.23,0,236.22
2023/7/3 22:00,703.22,0,236.19
2023/7/3 21:00,703.21,0,236.19
2023/7/3 20:00,703.2,0,236.19
2023/7/3 19:00,703.19,0,236.17
2023/7/3 18:00,703.18,0,236.17
2023/7/3 17:00,703.17,0,236.17
2023/7/3 16:00,703.16,0,236.17
2023/7/3 15:00,703.15,0,236.18
2023/7/3 14:00,703.14,0,236.17
2023/7/3 13:00,703.13,0,236.15
2023/7/3 12:00,703.12,0,236.09
2023/7/3 11:00,703.11,0,236.19
2023/7/3 10:00,703.1,0,236.2
2023/7/3 9:00,703.09,0.5,236.2
2023/7/3 8:00,703.08,0,236.18
2023/7/3 7:00,703.07,0.5,236.19
2023/7/3 6:00,703.06,0.5,236.18
2023/7/3 5:00,703.05,0.5,236.18
2023/7/3 4:00,703.04,0.5,236.16
2023/7/3 3:00,703.03,0,236.1
2023/7/3 2:00,703.02,0,236.15
2023/7/3 1:00,703.01,0,236.21
2023/7/3 0:00,703,1.5,236.21
2023/7/2 23:00,702.23,1.5,236.24
2023/7/2 22:00,702.22,0.5,236.19
2023/7/2 21:00,702.21,0,236.19
2023/7/2 20:00,702.2,0,236.18
2023/7/2 19:00,702.19,0,236.18
2023/7/2 18:00,702.18,0.5,236.19
2023/7/2 17:00,702.17,0.5,236.19
2023/7/2 16:00,702.16,2.5,236.19
2023/7/2 15:00,702.15,0,236.19
2023/7/2 14:00,702.14,1.5,236.19
2023/7/2 13:00,702.13,0.5,236.12
2023/7/2 12:00,702.12,0,236.09
2023/7/2 11:00,702.11,0.5,236.25
2023/7/2 10:00,702.1,0.5,236.23
2023/7/2 9:00,702.09,0,236.21
2023/7/2 8:00,702.08,0,236.22
2023/7/2 7:00,702.07,0,236.25
2023/7/2 6:00,702.06,0,236.27
2023/7/2 5:00,702.05,0,236.25
2023/7/2 4:00,702.04,0.5,236.25
2023/7/2 3:00,702.03,1,236.26
2023/7/2 2:00,702.02,0.5,236.29
2023/7/2 1:00,702.01,0.5,236.3
2023/7/2 0:00,702,0.5,236.28
2023/7/1 23:00,701.23,0,236.28
2023/7/1 22:00,701.22,1,236.27
2023/7/1 21:00,701.21,0,236.27
2023/7/1 20:00,701.2,0.5,236.25
2023/7/1 19:00,701.19,0,236.25
2023/7/1 18:00,701.18,0,236.25
2023/7/1 17:00,701.17,0,236.25
2023/7/1 16:00,701.16,1.5,236.28
2023/7/1 15:00,701.15,0,236.29
2023/7/1 14:00,701.14,0,236.29
2023/7/1 13:00,701.13,0.5,236.29
2023/7/1 12:00,701.12,0,236.3
2023/7/1 11:00,701.11,0.5,236.3
2023/7/1 10:00,701.1,0.5,236.28
2023/7/1 9:00,701.09,0,236.29
2023/7/1 8:00,701.08,0.5,236.29
2023/7/1 7:00,701.07,0,236.29
2023/7/1 6:00,701.06,0.5,236.32
2023/7/1 5:00,701.05,0,236.32
2023/7/1 4:00,701.04,0.5,236.31
2023/7/1 3:00,701.03,0,236.29
2023/7/1 2:00,701.02,0.5,236.29
2023/7/1 1:00,701.01,0,236.32
2023/7/1 0:00,701,0,236.32
2023/6/30 23:00,630.23,0,236.34
2023/6/30 22:00,630.22,0,236.3
2023/6/30 21:00,630.21,0,236.31
2023/6/30 20:00,630.2,0,236.3
2023/6/30 19:00,630.19,0,236.31
2023/6/30 18:00,630.18,0,236.31
2023/6/30 17:00,630.17,0,236.32
2023/6/30 16:00,630.16,0,236.3
2023/6/30 15:00,630.15,0,236.3
2023/6/30 14:00,630.14,0,236.27
2023/6/30 13:00,630.13,0,236.31
2023/6/30 12:00,630.12,0,236.31
2023/6/30 11:00,630.11,0,236.32
2023/6/30 10:00,630.1,0,236.3
2023/6/30 9:00,630.09,0,236.3
2023/6/30 8:00,630.08,0,236.3
2023/6/30 7:00,630.07,0,236.3
2023/6/30 6:00,630.06,1.5,236.31
2023/6/30 5:00,630.05,3,236.3
2023/6/30 4:00,630.04,1.5,236.32
2023/6/30 3:00,630.03,0.5,236.3
2023/6/30 2:00,630.02,0,236.31
2023/6/30 1:00,630.01,0,236.32
2023/6/30 0:00,630,0.5,236.35
2023/6/29 23:00,629.23,0,236.37
2023/6/29 22:00,629.22,0,236.32
2023/6/29 21:00,629.21,0,236.34
2023/6/29 20:00,629.2,0,236.37
2023/6/29 19:00,629.19,0,236.37
2023/6/29 18:00,629.18,0,236.37
2023/6/29 17:00,629.17,0,236.37
2023/6/29 16:00,629.16,0.5,236.37
2023/6/29 15:00,629.15,0,236.37
2023/6/29 14:00,629.14,0,236.36
2023/6/29 13:00,629.13,0,236.34
2023/6/29 12:00,629.12,0,236.38
2023/6/29 11:00,629.11,0,236.37
2023/6/29 10:00,629.1,0,236.37
2023/6/29 9:00,629.09,0,236.36
2023/6/29 8:00,629.08,0,236.36
2023/6/29 7:00,629.07,0,236.34
2023/6/29 6:00,629.06,0,236.35
2023/6/29 5:00,629.05,0,236.34
2023/6/29 4:00,629.04,0,236.36
2023/6/29 3:00,629.03,0,236.35
2023/6/29 2:00,629.02,0,236.34
2023/6/29 1:00,629.01,0,236.35
2023/6/29 0:00,629,0,236.36
2023/6/28 23:00,628.23,0,236.35
2023/6/28 22:00,628.22,0,236.27
2023/6/28 21:00,628.21,0,236.31
2023/6/28 20:00,628.2,0,236.33
2023/6/28 19:00,628.19,0,236.33
2023/6/28 18:00,628.18,0,236.33
2023/6/28 17:00,628.17,0,236.31
2023/6/28 16:00,628.16,0,236.32
2023/6/28 15:00,628.15,0,236.31
2023/6/28 14:00,628.14,0,236.29
2023/6/28 13:00,628.13,0,236.26
2023/6/28 12:00,628.12,0,236.32
2023/6/28 11:00,628.11,0,236.31
2023/6/28 10:00,628.1,0,236.3
2023/6/28 9:00,628.09,0,236.3
2023/6/28 8:00,628.08,0,236.25
2023/6/28 7:00,628.07,1.5,236.06
